aws-ext-rm,vcloud-ext-rm
1,2
0,1
0,3
23,3
0,3
0,1
0,3
14,3
0,3
0,4
0,2
53,3
0,1
0,1
0,1
12,1
0,5
0,3
0,3
15,3
5,3
0,3
0,2
0,1
11,0
4,3
0,1
0,1
0,2
0,1
0,1
0,1
0,2
0,3
1,1
1,1
0,3
0,3
0,2
0,2
11,1
0,2
0,2
1,3
11,5
3,4
26,1
0,1
0,3
0,1
